row_identifier,food_description,compound_fraction,value,approved_fdc_food,candidate_data_type,match_scope,review_verdict,source_review_file,reviewer,review_date,review_notes
01010004:PHYTCPPI,"Bread, brown rice-based, INIAP 15, fermented",PHYTCPPI,547.507,"Food For Life Baking Co Inc FOOD FOR LIFE, BROWN RICE BREAD",branded_food,category_estimate,approve,review_3_branded_low_confidence.csv,Paul S,16/08/2026,Genuine brown-rice bread product; fermentation-only specificity (no germination stage stated) not captured but category and form correct.
01010007:IP5,"Breakfast cereal, puffed rice, ""Funny day"", containing sugar",IP5,29.0,"Hannaford Bros. Co. HANNAFORD, PUFFED RICE CEREAL",branded_food,category_estimate,approve,review_3_branded_low_confidence.csv,Paul S,16/08/2026,"A genuine puffed-rice cereal product; brand (""Funny day"") and sugar content not confirmed but category and form correct."
01010007:IP6,"Breakfast cereal, puffed rice, ""Funny day"", containing sugar",IP6,46.199999999999996,"Hannaford Bros. Co. HANNAFORD, PUFFED RICE CEREAL",branded_food,category_estimate,approve,review_3_branded_low_confidence.csv,Paul S,16/08/2026,"A genuine puffed-rice cereal product; brand (""Funny day"") and sugar content not confirmed but category and form correct."
01010008:IP6,"Breakfast cereal, rice, Cocoa Krispies, Kellogg’s",IP6,178.0,WK KELLOGG CO Kellogg's Rice Krispies Cereal .88oz,branded_food,category_estimate,approve,review_1_ambiguous.csv,Paul S,16/08/2026,"Same product line (Kellogg's Krispies), flavored variant (cocoa) not exact -- reasonable category estimate."
01010009:PHYTCPP,"Cracker, rice-based",PHYTCPP,136.78,Rice crackers,sr_legacy_food,category_estimate,approve,review_6b_accepted_remainder.csv,Paul S,16/08/2026,Clean match.
01010010:PHYTCPP,"Noodle, rice-based, dried",PHYTCPP,14.0,"Rice noodles, dry",sr_legacy_food,category_estimate,approve,review_1_ambiguous.csv,Paul S,16/08/2026,Clean genus+prep match.
01010011:PHYTCPP,"Noodles, rice-based, dried",PHYTCPP,106.32,"Rice noodles, dry",sr_legacy_food,category_estimate,approve,review_1_ambiguous.csv,Paul S,16/08/2026,Clean genus+prep match.
01010060:IP5,Rice flour,IP5,10.536,"Rice flour, brown",sr_legacy_food,category_estimate,approve,review_6b_accepted_remainder.csv,Paul S,16/08/2026,"Brown assumed for an unspecified ""Rice flour"" -- reasonable default, established pattern."
01010060:IP5_A_IP6,Rice flour,IP5_A_IP6,88.678,"Rice flour, brown",sr_legacy_food,category_estimate,approve,review_6b_accepted_remainder.csv,Paul S,16/08/2026,"Brown assumed for an unspecified ""Rice flour"" -- reasonable default, established pattern."
01010060:IP6,Rice flour,IP6,78.142,"Rice flour, brown",sr_legacy_food,category_estimate,approve,review_6b_accepted_remainder.csv,Paul S,16/08/2026,"Brown assumed for an unspecified ""Rice flour"" -- reasonable default, established pattern."
