row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_confidence,rationale,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
01010068:PHYT-,"Rice, Bengal, rough, nontransgenic, conventional herbicide system, raw",PHYT-,738.783,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Bengal, rough, nontransgenic, conventional herbicide system, raw), value 738.783 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010070:PHYT-,"Rice, Bengal, rough, transgenic, liberty herbicide system, raw",PHYT-,705.2669999999999,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Bengal, rough, transgenic, liberty herbicide system, raw), value 705.2669999999999 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010124:PP-,"Rice, IR 32, subaleurone endosperm, raw",PP-,745.9509202453988,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (IR 32, subaleurone endosperm, raw), value 745.9509202453988 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010127:PP-,"Rice, IR 480-5-9, middle endosperm, raw",PP-,88.8036809815951,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (IR 480-5-9, middle endosperm, raw), value 88.8036809815951 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010129:PP-,"Rice, IR 480-5-9, subaleurone endosperm, raw",PP-,852.515337423313,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (IR 480-5-9, subaleurone endosperm, raw), value 852.515337423313 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010134:PHYTCPPI,"Rice, Japonica, Huai269, dehulled, dried, moderate N fertilization",PHYTCPPI,786.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huai269, dehulled, dried, moderate N fertilization), value 786.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010135:PHYTCPPI,"Rice, Japonica, Huai269, dehulled, dried, moderate N fertilization",PHYTCPPI,801.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huai269, dehulled, dried, moderate N fertilization), value 801.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010137:PHYTCPPI,"Rice, Japonica, Huaidao6, dehulled, dried, high N fertilization",PHYTCPPI,772.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huaidao6, dehulled, dried, high N fertilization), value 772.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010138:PHYTCPPI,"Rice, Japonica, Huaidao6, dehulled, dried, high N fertilization",PHYTCPPI,739.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huaidao6, dehulled, dried, high N fertilization), value 739.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010142:PHYTCPPI,"Rice, Japonica, Huaidao7, dehulled, dried, high N fertilization",PHYTCPPI,782.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huaidao7, dehulled, dried, high N fertilization), value 782.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010143:PHYTCPPI,"Rice, Japonica, Huaidao7, dehulled, dried, high N fertilization",PHYTCPPI,750.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huaidao7, dehulled, dried, high N fertilization), value 750.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010147:PHYTCPPI,"Rice, Japonica, Huaidao9, dehulled, dried, high N fertilization",PHYTCPPI,748.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huaidao9, dehulled, dried, high N fertilization), value 748.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010148:PHYTCPPI,"Rice, Japonica, Huaidao9, dehulled, dried, high N fertilization",PHYTCPPI,747.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huaidao9, dehulled, dried, high N fertilization), value 747.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010152:PHYTCPPI,"Rice, Japonica, Huajing6, dehulled, dried, high N fertilization",PHYTCPPI,624.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huajing6, dehulled, dried, high N fertilization), value 624.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010153:PHYTCPPI,"Rice, Japonica, Huajing6, dehulled, dried, high N fertilization",PHYTCPPI,710.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huajing6, dehulled, dried, high N fertilization), value 710.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
01010154:PHYTCPPI,"Rice, Japonica, Huajing6, dehulled, dried, moderate N fertilization",PHYTCPPI,784.0,,,,no FDC candidate found for this source description,unresolved,,,unusable,,,"Generic catalog entry exists (""Rice bran, crude"" / ""Rice flour, brown"" (sr_legacy_food)) but this row is a specific breeding line/cultivar/processing-treatment at a distinct growth stage, transgenic status, or fertilization regime (Japonica, Huajing6, dehulled, dried, moderate N fertilization), value 784.0 -- collapsing onto the generic entry would erase the exact distinction this dataset exists to preserve. DRAFT -- confirm before sign-off. Flag for matching-rule review: pipeline reported zero candidates even though a same-genus generic entry exists (under a different name, in some cases)."
