row_identifier,food_description,compound_fraction,value,food_id,fdc_id,approved_fdc_food,data_type,review_verdict,match_scope,reviewer,review_date,review_notes,catalogue_checksum
01010004:PHYTCPPI,"Bread, brown rice-based, INIAP 15, fermented",PHYTCPPI,547.507,144756,497921,"Food For Life Baking Co Inc FOOD FOR LIFE, BROWN RICE BREAD",branded_food,approve,category_estimate,Paul S,16/08/2026,Genuine brown-rice bread product; fermentation-only specificity (no germination stage stated) not captured but category and form correct.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010007:IP5,"Breakfast cereal, puffed rice, ""Funny day"", containing sugar",IP5,29.0,103086,441776,"Hannaford Bros. Co. HANNAFORD, PUFFED RICE CEREAL",branded_food,approve,category_estimate,Paul S,16/08/2026,"A genuine puffed-rice cereal product; brand (""Funny day"") and sugar content not confirmed but category and form correct.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010007:IP6,"Breakfast cereal, puffed rice, ""Funny day"", containing sugar",IP6,46.199999999999996,103086,441776,"Hannaford Bros. Co. HANNAFORD, PUFFED RICE CEREAL",branded_food,approve,category_estimate,Paul S,16/08/2026,"A genuine puffed-rice cereal product; brand (""Funny day"") and sugar content not confirmed but category and form correct.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010008:IP6,"Breakfast cereal, rice, Cocoa Krispies, Kellogg’s",IP6,178.0,1373654,2662934,WK KELLOGG CO Kellogg's Rice Krispies Cereal .88oz,branded_food,approve,category_estimate,Paul S,16/08/2026,"Same product line (Kellogg's Krispies), flavored variant (cocoa) not exact -- reasonable category estimate.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010009:PHYTCPP,"Cracker, rice-based",PHYTCPP,136.78,5885,173161,Rice crackers,sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,Clean match.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010010:PHYTCPP,"Noodle, rice-based, dried",PHYTCPP,14.0,2602,169742,"Rice noodles, dry",sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,Clean genus+prep match.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010011:PHYTCPP,"Noodles, rice-based, dried",PHYTCPP,106.32,2602,169742,"Rice noodles, dry",sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,Clean genus+prep match.,7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010060:IP5,Rice flour,IP5,10.536,1772,168898,"Rice flour, brown",sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,"Brown assumed for an unspecified ""Rice flour"" -- reasonable default, established pattern.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010060:IP5_A_IP6,Rice flour,IP5_A_IP6,88.678,1772,168898,"Rice flour, brown",sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,"Brown assumed for an unspecified ""Rice flour"" -- reasonable default, established pattern.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
01010060:IP6,Rice flour,IP6,78.142,1772,168898,"Rice flour, brown",sr_legacy_food,approve,category_estimate,Paul S,16/08/2026,"Brown assumed for an unspecified ""Rice flour"" -- reasonable default, established pattern.",7e7836ad3e41985c306efc62d0c2456f69b4aad225a1ed83a2591f68dec84c86
