row_identifier,chosen_fdc_id,resolver_note
01010004:PHYTCPPI,497921,"auto-resolved: all 4 candidate Food rows for 'Food For Life Baking Co Inc FOOD FOR LIFE, BROWN RICE BREAD' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010007:IP5,441776,"auto-resolved: all 4 candidate Food rows for 'Hannaford Bros. Co. HANNAFORD, PUFFED RICE CEREAL' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010007:IP6,441776,"auto-resolved: all 4 candidate Food rows for 'Hannaford Bros. Co. HANNAFORD, PUFFED RICE CEREAL' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010063:PHYTCPPD,1338250,"auto-resolved: all 2 candidate Food rows for 'General Mills, Inc. BROWN RICE' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010065:PHYTCPP,1338250,"auto-resolved: all 2 candidate Food rows for 'General Mills, Inc. BROWN RICE' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010066:PHYTCPP,1338250,"auto-resolved: all 2 candidate Food rows for 'General Mills, Inc. BROWN RICE' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010093:PHYTCPP,1177050,"auto-resolved: all 2 candidate Food rows for 'The J.M. Smucker Company GERMINATED BROWN RICE' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010094:PHYTCPP,604461,"auto-resolved: all 5 candidate Food rows for ""Raley's BROWN RICE"" share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010095:IP6,604461,"auto-resolved: all 5 candidate Food rows for ""Raley's BROWN RICE"" share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010096:PHYTC-,604461,"auto-resolved: all 5 candidate Food rows for ""Raley's BROWN RICE"" share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010097:PHYTCPP,604461,"auto-resolved: all 5 candidate Food rows for ""Raley's BROWN RICE"" share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010103:PHYTCPP,604461,"auto-resolved: all 5 candidate Food rows for ""Raley's BROWN RICE"" share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010105:PHYTCPP,471667,"auto-resolved: all 4 candidate Food rows for 'Hy-Vee, Inc. TOASTED RICE FLAKES' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010106:PHYTCPP,471667,"auto-resolved: all 4 candidate Food rows for 'Hy-Vee, Inc. TOASTED RICE FLAKES' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010118:PHYTCPP,1338250,"auto-resolved: all 2 candidate Food rows for 'General Mills, Inc. BROWN RICE' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010120:PP-,604461,"auto-resolved: all 5 candidate Food rows for ""Raley's BROWN RICE"" share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010125:PP-,604461,"auto-resolved: all 5 candidate Food rows for ""Raley's BROWN RICE"" share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010130:PHYTCPP,604461,"auto-resolved: all 5 candidate Food rows for ""Raley's BROWN RICE"" share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010305:PHYTCPPD,604461,"auto-resolved: all 5 candidate Food rows for ""Raley's BROWN RICE"" share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010308:PHYTCPP,2569712,"auto-resolved: all 2 candidate Food rows for 'OG BLACK PEARL RICE' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010316:PHYTCPP,446204,"auto-resolved: all 5 candidate Food rows for 'Ahold USA, Inc. PUFFED RICE' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
01010321:PHYTCPPI,1177050,"auto-resolved: all 2 candidate Food rows for 'The J.M. Smucker Company GERMINATED BROWN RICE' share identical protein_g_per_100g and FoodNutrient amounts -- the choice between them is provably inconsequential to any figure this app computes, so the lowest fdc_id was picked deterministically rather than left blocking the import"
