row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_method,rationale,was_in_794_shortlist,known_pattern,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
16010024:PHYTCPPD,Infant flour,PHYTCPPD,123.3,"Flour, 00",foundation_food,fuzzy,"top two name-search candidates ('Flour, 00', 'InfantBrace LLC FLOUR TORTILLAS, FLOUR') are too textually similar to the source description (0.48 vs 0.48 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,,,,,,,,
16010025:PHYTCPPD,"Infant flour, balls",PHYTCPPD,68.0,"Flour, barley",foundation_food,fuzzy,"top two name-search candidates ('Flour, barley', 'InfantBrace LLC FLOUR TORTILLAS, FLOUR') are too textually similar to the source description (0.62 vs 0.53 similarity) to place confidently",YES,,,,,,,,
16010026:IP5,"Infant flour, cereal-based, commercial, fortified",IP5,21.581999999999997,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.59 vs 0.58 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010026:IP6,"Infant flour, cereal-based, commercial, fortified",IP6,266.832,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.59 vs 0.58 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010026:IP5_A_IP6,"Infant flour, cereal-based, commercial, fortified",IP5_A_IP6,288.414,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.59 vs 0.58 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010027:IP5,"Infant flour, cereal-based, commercial, fortified, water-boiled",IP5,2.592000000000001,"Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",sr_legacy_food,fuzzy,"top two name-search candidates ('Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)', 'STATER BROS. CREAMY HOT WHEAT FORTIFIED CEREAL') are too textually similar to the source description (0.45 vs 0.44 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,,,,,,,,
16010027:IP6,"Infant flour, cereal-based, commercial, fortified, water-boiled",IP6,28.51200000000001,"Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",sr_legacy_food,fuzzy,"top two name-search candidates ('Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)', 'STATER BROS. CREAMY HOT WHEAT FORTIFIED CEREAL') are too textually similar to the source description (0.45 vs 0.44 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,,,,,,,,
16010027:IP5_A_IP6,"Infant flour, cereal-based, commercial, fortified, water-boiled",IP5_A_IP6,31.104000000000013,"Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",sr_legacy_food,fuzzy,"top two name-search candidates ('Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)', 'STATER BROS. CREAMY HOT WHEAT FORTIFIED CEREAL') are too textually similar to the source description (0.45 vs 0.44 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,,,,,,,,
16010028:IP5_A_IP6,"Infant flour, cereal-based, commercially produced",IP5_A_IP6,554.094,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.47 vs 0.46 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010029:IP5_A_IP6,"Infant flour, cereal-based, commercially produced",IP5_A_IP6,482.151,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.47 vs 0.46 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
