row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_relationship,match_confidence,rationale,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
01010009:PHYTCPP,"Cracker, rice-based",PHYTCPP,136.78,Rice crackers,sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,approve,Rice crackers,,category_estimate,Paul S,16/08/2026,Clean match.
01010023:PHYTCPPD,"Rice bran, extruded at 115ºC and 14%H20",PHYTCPPD,2076.0,"Rice bran, crude",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"EXTRUDED (processed) vs CRUDE (raw, unprocessed) -- established prep-state mismatch.",,Paul S,16/08/2026,
01010024:PHYTCPPD,"Rice bran, extruded at 115ºC and 17%H20",PHYTCPPD,1952.0,"Rice bran, crude",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"EXTRUDED (processed) vs CRUDE (raw, unprocessed) -- established prep-state mismatch.",,Paul S,16/08/2026,
01010025:PHYTCPPD,"Rice bran, extruded at 115ºC and 20%H20",PHYTCPPD,1948.0,"Rice bran, crude",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"EXTRUDED (processed) vs CRUDE (raw, unprocessed) -- established prep-state mismatch.",,Paul S,16/08/2026,
01010026:PHYTCPPD,"Rice bran, extruded at 140ºC and 14%H20",PHYTCPPD,1989.0,"Rice bran, crude",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"EXTRUDED (processed) vs CRUDE (raw, unprocessed) -- established prep-state mismatch.",,Paul S,16/08/2026,
01010027:PHYTCPPD,"Rice bran, extruded at 140ºC and 17%H20",PHYTCPPD,1957.0,"Rice bran, crude",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"EXTRUDED (processed) vs CRUDE (raw, unprocessed) -- established prep-state mismatch.",,Paul S,16/08/2026,
01010028:PHYTCPPD,"Rice bran, extruded at 140ºC and 20%H20",PHYTCPPD,1892.0,"Rice bran, crude",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"EXTRUDED (processed) vs CRUDE (raw, unprocessed) -- established prep-state mismatch.",,Paul S,16/08/2026,
01010029:PHYTCPPD,"Rice bran, extruded at 165ºC and 14%H20",PHYTCPPD,2026.0,"Rice bran, crude",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"EXTRUDED (processed) vs CRUDE (raw, unprocessed) -- established prep-state mismatch.",,Paul S,16/08/2026,
01010030:PHYTCPPD,"Rice bran, extruded at 165ºC and 17%H20",PHYTCPPD,2003.0,"Rice bran, crude",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,reject,,"EXTRUDED (processed) vs CRUDE (raw, unprocessed) -- established prep-state mismatch.",,Paul S,16/08/2026,
01010050:PHYTCPP,"Rice bran, Starbonnet, full-fat, raw",PHYTCPP,3839.52,"Soy flour, full-fat, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Soy flour, full-fat, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Rice bran vs SOY flour -- wrong species entirely, coincidental ""full-fat, raw"" phrase overlap.",,Paul S,16/08/2026,
01010060:IP5,Rice flour,IP5,10.536,"Rice flour, brown",sr_legacy_food,close_analogue,0.85,"name-matched at confidence 0.85, but preparation state/moisture basis alignment could not be confirmed automatically",approve,"Rice flour, brown",,category_estimate,Paul S,16/08/2026,"Brown assumed for an unspecified ""Rice flour"" -- reasonable default, established pattern."
01010060:IP5_A_IP6,Rice flour,IP5_A_IP6,88.678,"Rice flour, brown",sr_legacy_food,close_analogue,0.85,"name-matched at confidence 0.85, but preparation state/moisture basis alignment could not be confirmed automatically",approve,"Rice flour, brown",,category_estimate,Paul S,16/08/2026,"Brown assumed for an unspecified ""Rice flour"" -- reasonable default, established pattern."
01010060:IP6,Rice flour,IP6,78.142,"Rice flour, brown",sr_legacy_food,close_analogue,0.85,"name-matched at confidence 0.85, but preparation state/moisture basis alignment could not be confirmed automatically",approve,"Rice flour, brown",,category_estimate,Paul S,16/08/2026,"Brown assumed for an unspecified ""Rice flour"" -- reasonable default, established pattern."
01010087:PHYTC-,"Rice, black, raw",PHYTC-,130.92,"Rice, black, unenriched, raw",foundation_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Rice, black, unenriched, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",approve,"Rice, black, unenriched, raw",,category_estimate,Paul S,16/08/2026,Clean match.
01010122:PP-,"Rice, IR 32, middle endosperm, raw",PP-,35.521472392638046,"Wild rice, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Wild rice, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",reject,,"Cultivar-specific standard rice vs WILD rice (a different genus, Zizania) -- wrong species.",,Paul S,16/08/2026,
