row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_relationship,match_confidence,rationale,sample_stratum,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
01010290:PHYTCPPD,"Rice, milled, cooked",PHYTCPPD,60.944,"Millet, cooked",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Rice vs MILLET -- different grains entirely, no evident textual justification for the match.",,Paul S,16/08/2026,
01010291:PHYTCPPD,"Rice, milled, cooked",PHYTCPPD,25.389,"Millet, cooked",sr_legacy_food,category_proxy,0.65,weak name match (confidence 0.65) taken as a coarse stand-in only,high_risk_keyword,reject,,"Rice vs MILLET -- different grains entirely, no evident textual justification for the match.",,Paul S,16/08/2026,
01010292:PHYTCPPD,"Rice, milled, raw",PHYTCPPD,371.686,"Millet, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Millet, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",high_risk_keyword,reject,,Same wrong-grain mismatch as the cooked variant above.,,Paul S,16/08/2026,
01010293:PHYTCPPD,"Rice, milled, raw",PHYTCPPD,236.4292,"Millet, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Millet, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",high_risk_keyword,reject,,Same wrong-grain mismatch as the cooked variant above.,,Paul S,16/08/2026,
01010294:PHYTCPPD,"Rice, milled, raw",PHYTCPPD,461.68,"Millet, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Millet, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",high_risk_keyword,reject,,Same wrong-grain mismatch as the cooked variant above.,,Paul S,16/08/2026,
01010295:PHYTCPPD,"Rice, milled, raw",PHYTCPPD,243.53,"Millet, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Millet, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",high_risk_keyword,reject,,Same wrong-grain mismatch as the cooked variant above.,,Paul S,16/08/2026,
01010296:PHYTCPPD,"Rice, milled, raw",PHYTCPPD,157.7757,"Millet, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Millet, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",high_risk_keyword,reject,,Same wrong-grain mismatch as the cooked variant above.,,Paul S,16/08/2026,
01010297:PHYTCPPD,"Rice, milled, raw",PHYTCPPD,371.686,"Millet, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Millet, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",high_risk_keyword,reject,,Same wrong-grain mismatch as the cooked variant above.,,Paul S,16/08/2026,
01010298:PHYTC-,"Rice, milled, raw",PHYTC-,12.95,"Millet, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Millet, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",high_risk_keyword,reject,,Same wrong-grain mismatch as the cooked variant above.,,Paul S,16/08/2026,
01010299:PHYTCPP,"Rice, milled, raw",PHYTCPP,266.0,"Millet, raw",sr_legacy_food,regional_equivalent,0.65,"name match with preparation state 'raw' confirmed present in 'Millet, raw', and matching edible-portion basis — not human-verified, so capped below 'exact'",high_risk_keyword,reject,,Same wrong-grain mismatch as the cooked variant above.,,Paul S,16/08/2026,
