row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_method,rationale,selected_score,unselected_alternative_score,score_gap,suggested_action,generic_candidates_found,generic_candidates_sample,all_candidates_for_genus_count,all_candidates_for_genus_sample,quick_hint,review_verdict,approved_fdc_food,match_scope,rejection_reason,review_notes
02010020:PHYTCPPI,"Potato, raw",PHYTCPPI,40.48,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",sr_legacy_food,fuzzy,"top two name-search candidates (""Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)"", 'Potatoes, raw, skin') are too textually similar to the source description (0.23 vs 0.73 similarity) to place confidently",0.23,0.73,0.5,OPEN — needs review,20,"Babyfood, corn and sweet potatoes, strained (sr_legacy_food) | Babyfood, dinner, sweet potatoes and chicken, strained (sr_legacy_food) | Babyfood, fruit and vegetable, apple and sweet potato (sr_legacy_food) | Babyfood, juice, apple-sweet potato (sr_legacy_food) | Babyfood, mashed cheddar potatoes and broccoli, toddlers (sr_legacy_food)",30," CHEDDAR & SOUR CREAM FLAVORED POTATO CHIPS |  KETTLE COOKED MESQUITE BBQ FLAVORED POTATO CHIPS | ""CRAB CHIP"" POTATO CHIPS | ""DIRTY"" POTATO CHIPS | ""THE CRAB CHIP"" WITH CHESAPEAKE BAY CRAB SEASONING POTATO CHIPS | ""THE CRAB CHIP"" WITH CHESAPEAKE BAY CRAB SEASONING POTATO CHIPS | 1ST & MAIN DELI MUSTARD POTATO SALAD, MUSTARD | 1ST & MAIN DELI MUSTARD POTATO SALAD, MUSTARD",genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Potatoes, raw, skin",category_estimate,,"Unselected alternative scored 0.73, correct genus; selected sweet potato is different plant."
02010050:IP6,"Sweet potato, raw",IP6,0.36,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",sr_legacy_food,canonical,"top two name-search candidates (""Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)"", 'Sweet potato leaves, raw') are too textually similar to the source description (0.34 vs 0.83 similarity) to place confidently",0.34,0.83,0.49,OPEN — needs review,20,"Babyfood, corn and sweet potatoes, strained (sr_legacy_food) | Babyfood, dinner, sweet potatoes and chicken, strained (sr_legacy_food) | Babyfood, fruit and vegetable, apple and sweet potato (sr_legacy_food) | Babyfood, juice, apple-sweet potato (sr_legacy_food) | Babyfood, vegetables, sweet potatoes strained (sr_legacy_food)",30,"2178 Kensington Ave., Inc. BULGOGI SWEET POTATOES, CAULIFLOWER, EDAMAME, TOASTED SESAME SEEDS, MEATLESS CRUMBLES, BULGOGI SAUCE PLANT BASED BOWL, BULGOGI | 6th Sense Custom Lure Co. CHICKEN MOLE SEASON CHICKEN BREAST PIECES, BROWN RICE, SWEET POTATO AND AVOCADO, IN A RICH, SAVORY MOLE SAUCE, CHICKEN MOLE | 6th Sense Custom Lure Co. SWEET POTATO & LENTIL SHEPHERD'S PIE, SWEET POTATO & LENTIL SHEPHERD'S | 82's, LLC SWEET POTATO BBQ SAUCE | 82's, LLC SWEET POTATO BBQ SAUCE | A'Zoe Enterprize FROZEN PIE FILLING, SWEET POTATO | A'Zoe Enterprize FROZEN PIE FILLING, SWEET POTATO | A'Zoe Enterprize FROZEN PIE FILLING, SWEET POTATO",genus word appears in rationale text — worth checking the unselected alternative directly,approve,,,,Selected candidate already correct; unselected leaves alt is wrong part.
01030222:PHYTCPP,"Wheat, Bobwhite, raw",PHYTCPP,872.883,"Bread, white wheat",sr_legacy_food,fuzzy,"top two name-search candidates ('Bread, white wheat', 'Wheat, soft white') are too textually similar to the source description (0.26 vs 0.70 similarity) to place confidently",0.26,0.7,0.44,OPEN — needs review,20,"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat (sr_legacy_food) | Babyfood, cereal, whole wheat, with apples, dry fortified (sr_legacy_food) | Bagels, wheat (sr_legacy_food) | Bread, chapati or roti, whole wheat, commercially prepared, frozen (sr_legacy_food) | Bread, cracked-wheat (sr_legacy_food)",30, THIN WHEAT THE SUPER SNACK CRACKER | (S.M.G.) Shoals Music Group THIN WHEAT CRACKERS | (S.M.G.) Shoals Music Group THIN WHEAT CRACKERS | (S.M.G.) Shoals Music Group THIN WHEAT CRACKERS | 0085623500533 Whole Wheat Yakisoba Noodles | 0085623500533 Whole Wheat Yakisoba Noodles | 100% WHOLE WHEAT BREAD | 100% WHOLE WHEAT BREAD,genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Wheat, soft white",category_estimate,,Bobwhite is a soft white wheat cultivar; unselected alternative matches.
01030223:PHYTCPP,"Wheat, Bobwhite, raw",PHYTCPP,792.36,"Bread, white wheat",sr_legacy_food,fuzzy,"top two name-search candidates ('Bread, white wheat', 'Wheat, soft white') are too textually similar to the source description (0.26 vs 0.70 similarity) to place confidently",0.26,0.7,0.44,OPEN — needs review,20,"Babyfood, GERBER, GRADUATES Lil Biscuits Vanilla Wheat (sr_legacy_food) | Babyfood, cereal, whole wheat, with apples, dry fortified (sr_legacy_food) | Bagels, wheat (sr_legacy_food) | Bread, chapati or roti, whole wheat, commercially prepared, frozen (sr_legacy_food) | Bread, cracked-wheat (sr_legacy_food)",30, THIN WHEAT THE SUPER SNACK CRACKER | (S.M.G.) Shoals Music Group THIN WHEAT CRACKERS | (S.M.G.) Shoals Music Group THIN WHEAT CRACKERS | (S.M.G.) Shoals Music Group THIN WHEAT CRACKERS | 0085623500533 Whole Wheat Yakisoba Noodles | 0085623500533 Whole Wheat Yakisoba Noodles | 100% WHOLE WHEAT BREAD | 100% WHOLE WHEAT BREAD,genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Wheat, soft white",category_estimate,,Bobwhite is a soft white wheat cultivar; unselected alternative matches.
01030005:PHYTCPPD,"Bread, flat, white wheat flour",PHYTCPPD,249.461,"Wheat flour, white, bread, enriched",sr_legacy_food,fuzzy,"top two name-search candidates ('Wheat flour, white, bread, enriched', 'Bread, white wheat') are too textually similar to the source description (0.34 vs 0.75 similarity) to place confidently",0.34,0.75,0.41,OPEN — needs review,20,"Beef, New Zealand, imported, sweetbread, cooked, boiled (sr_legacy_food) | Beef, New Zealand, imported, sweetbread, raw (sr_legacy_food) | Bread, Italian (sr_legacy_food) | Bread, banana, prepared from recipe, made with margarine (sr_legacy_food) | Bread, blue corn, somiviki (Hopi) (sr_legacy_food)",30," EVERYTHING DELI-STYLE BREADSTICKS | ""OUR BEST"" BREADED VEAL & BEEF PATTIES, 4 OZ, 4 COUNT | (S.M.G.) Shoals Music Group ANCIENT GRAINS FLATBREADS, ANCIENT GRAINS | (S.M.G.) Shoals Music Group ANCIENT GRAINS FLATBREADS, ANCIENT GRAINS | (S.M.G.) Shoals Music Group ANCIENT GRAINS FLATBREADS, ANCIENT GRAINS | (S.M.G.) Shoals Music Group ANCIENT GRAINS FLATBREADS, ANCIENT GRAINS | (S.M.G.) Shoals Music Group SEA SALT MULTIGRAIN FLATBREADS, SEA SALT MULTIGRAIN | (S.M.G.) Shoals Music Group SEA SALT MULTIGRAIN FLATBREADS, SEA SALT MULTIGRAIN",genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Bread, white wheat",category_estimate,,Source is a bread not a flour; selected candidate was wrong category.
01030132:PHYTCPP,"Spaghetti, wheat-based, uncooked",PHYTCPP,248.0,BRANDLESS WHOLE WHEAT SPAGHETTI,branded_food,fuzzy,"top two name-search candidates ('BRANDLESS WHOLE WHEAT SPAGHETTI', 'Spaghetti, spinach, cooked') are too textually similar to the source description (0.29 vs 0.69 similarity) to place confidently",0.29,0.69,0.4,OPEN — needs review,20,"Babyfood, dinner, spaghetti and tomato and meat, junior (sr_legacy_food) | Babyfood, dinner, spaghetti and tomato and meat, toddler (sr_legacy_food) | CARRABBA'S ITALIAN GRILL, spaghetti with meat sauce (sr_legacy_food) | CARRABBA'S ITALIAN GRILL, spaghetti with pomodoro sauce (sr_legacy_food) | DENNY'S, spaghetti and meatballs (sr_legacy_food)",30,"8 SPAGHETTI PASTA | 9 SPAGHETTINI PASTA | A. Zerega's Sons Inc ENRICHED MACARONI PRODUCT THIN SPAGHETTI | A. Zerega's Sons Inc ENRICHED MACARONI PRODUCT, SPAGHETTI | A. Zerega's Sons Inc ENRICHED MACARONI PRODUCT, SPAGHETTI | A. Zerega's Sons Inc ENRICHED MACARONI PRODUCT, THIN SPAGHETTI | AG FERRARI SPAGHETTI 100% ORGANIC DURUM WHEAT SEMOLINA | ALESSI PREMIUM ITALIAN PASTA, ORGANIC SPAGHETTI ALLA CHITARRA",genus word appears in rationale text — worth checking the unselected alternative directly,replace,"Pasta, dry, enriched",category_estimate,,No plain spaghetti entry; generic pasta used as category fallback.
01060205:IP4,"Porridge formula, oatmeal, commercial, ""Ahaa"" large flakes",IP4,70.0,FOSKA OATMEAL INSTANT PORRIDGE,branded_food,fuzzy,"top two name-search candidates ('FOSKA OATMEAL INSTANT PORRIDGE', 'Cookies, oatmeal, commercially prepared, regular') are too textually similar to the source description (0.18 vs 0.55 similarity) to place confidently",0.18,0.55,0.37,OPEN — needs review,0,,0,,,reject,,,No generic oatmeal-porridge fallback; branded mismatch (Nordic vs Caribbean product).,
01060205:IP5,"Porridge formula, oatmeal, commercial, ""Ahaa"" large flakes",IP5,232.0,FOSKA OATMEAL INSTANT PORRIDGE,branded_food,fuzzy,"top two name-search candidates ('FOSKA OATMEAL INSTANT PORRIDGE', 'Cookies, oatmeal, commercially prepared, regular') are too textually similar to the source description (0.18 vs 0.55 similarity) to place confidently",0.18,0.55,0.37,OPEN — needs review,0,,0,,,reject,,,No generic oatmeal-porridge fallback; branded mismatch (Nordic vs Caribbean product).,
01060205:IP6,"Porridge formula, oatmeal, commercial, ""Ahaa"" large flakes",IP6,574.1999999999999,FOSKA OATMEAL INSTANT PORRIDGE,branded_food,fuzzy,"top two name-search candidates ('FOSKA OATMEAL INSTANT PORRIDGE', 'Cookies, oatmeal, commercially prepared, regular') are too textually similar to the source description (0.18 vs 0.55 similarity) to place confidently",0.18,0.55,0.37,OPEN — needs review,0,,0,,,reject,,,No generic oatmeal-porridge fallback; branded mismatch (Nordic vs Caribbean product).,
03010710:PHYTCPPD,"Velvet bean, White, dehulled, raw",PHYTCPPD,944.8012,SKIP'S DIP WHITE BEAN DIP,branded_food,fuzzy,"top two name-search candidates (""SKIP'S DIP WHITE BEAN DIP"", 'Beans, white, mature seeds, raw') are too textually similar to the source description (0.31 vs 0.66 similarity) to place confidently",0.31,0.66,0.35,OPEN — needs review,0,,0,,,reject,,,Velvet bean (Mucuna) is a different genus from common beans; no FDC representation.,
