row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_confidence,rationale,auto_flag,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
01010008:IP6,"Breakfast cereal, rice, Cocoa Krispies, Kellogg’s",IP6,178.0,WK KELLOGG CO Kellogg's Rice Krispies Cereal .88oz,branded_food,0.4,"top two name-search candidates (""WK KELLOGG CO Kellogg's Rice Krispies Cereal .88oz"" [selected], ""WK KELLOGG CO Kellogg's Rice Krispies Cereal .62oz"") are too textually similar to the source description (selected candidate similarity: 0.46; runner-up similarity: 0.46; best candidate similarity: 0.46, held by ""WK KELLOGG CO Kellogg's Rice Krispies Cereal .88oz"") to place confidently",,approve,WK KELLOGG CO Kellogg's Rice Krispies Cereal .88oz,,category_estimate,Paul S,16/08/2026,"Same product line (Kellogg's Krispies), flavored variant (cocoa) not exact -- reasonable category estimate."
01010010:PHYTCPP,"Noodle, rice-based, dried",PHYTCPP,14.0,"Rice noodles, dry",sr_legacy_food,0.65,"top two name-search candidates ('Rice noodles, dry' [selected], 'Rice noodles, cooked') are too textually similar to the source description (selected candidate similarity: 0.52; runner-up similarity: 0.49; best candidate similarity: 0.52, held by 'Rice noodles, dry') to place confidently",,approve,"Rice noodles, dry",,category_estimate,Paul S,16/08/2026,Clean genus+prep match.
01010011:PHYTCPP,"Noodles, rice-based, dried",PHYTCPP,106.32,"Rice noodles, dry",sr_legacy_food,0.65,"top two name-search candidates ('Rice noodles, dry' [selected], 'Rice noodles, cooked') are too textually similar to the source description (selected candidate similarity: 0.51; runner-up similarity: 0.52; best candidate similarity: 0.52, held by 'Rice noodles, cooked') — note: the selected candidate is NOT the highest-similarity one; 'Rice noodles, cooked' scored higher to place confidently",,approve,"Rice noodles, dry",,category_estimate,Paul S,16/08/2026,Clean genus+prep match.
01010013:PHYTCPPI,"Porridge, rice and sour milk",PHYTCPPI,20.0,"Milk, whole, 3.25% milkfat, with added vitamin D",sr_legacy_food,0.95,"top two name-search candidates ('Milk, whole, 3.25% milkfat, with added vitamin D' [selected], 'Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D') are too textually similar to the source description (selected candidate similarity: 0.24; runner-up similarity: 0.28; best candidate similarity: 0.28, held by 'Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D') — note: the selected candidate is NOT the highest-similarity one; 'Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D' scored higher to place confidently",,reject,,Source is a rice porridge (rice + sour milk); candidate drops the rice entirely and matches only the milk component -- wrong primary category.,,Paul S,16/08/2026,
01010014:IP5,"Porridge, rice flour-based",IP5,1.0560000000000003,"Flour, rice, brown",foundation_food,0.65,"top two name-search candidates ('Flour, rice, brown' [selected], 'Rice flour, brown') are too textually similar to the source description (selected candidate similarity: 0.45; runner-up similarity: 0.51; best candidate similarity: 0.51, held by 'Rice flour, brown') — note: the selected candidate is NOT the highest-similarity one; 'Rice flour, brown' scored higher to place confidently",,reject,,PORRIDGE (a cooked dish) vs raw FLOUR -- wrong product form.,,Paul S,16/08/2026,
01010014:IP5_A_IP6,"Porridge, rice flour-based",IP5_A_IP6,10.824000000000003,"Flour, rice, brown",foundation_food,0.65,"top two name-search candidates ('Flour, rice, brown' [selected], 'Rice flour, brown') are too textually similar to the source description (selected candidate similarity: 0.45; runner-up similarity: 0.51; best candidate similarity: 0.51, held by 'Rice flour, brown') — note: the selected candidate is NOT the highest-similarity one; 'Rice flour, brown' scored higher to place confidently",,reject,,PORRIDGE (a cooked dish) vs raw FLOUR -- wrong product form.,,Paul S,16/08/2026,
01010014:IP6,"Porridge, rice flour-based",IP6,9.768000000000002,"Flour, rice, brown",foundation_food,0.65,"top two name-search candidates ('Flour, rice, brown' [selected], 'Rice flour, brown') are too textually similar to the source description (selected candidate similarity: 0.45; runner-up similarity: 0.51; best candidate similarity: 0.51, held by 'Rice flour, brown') — note: the selected candidate is NOT the highest-similarity one; 'Rice flour, brown' scored higher to place confidently",,reject,,PORRIDGE (a cooked dish) vs raw FLOUR -- wrong product form.,,Paul S,16/08/2026,
01010015:PHYTCPPI,"Porridge, rice-based",PHYTCPPI,20.0,YANGBAN RICE PORRIDGE WITH TUNA,branded_food,0.4,"top two name-search candidates ('YANGBAN RICE PORRIDGE WITH TUNA' [selected], 'YANGBAN RICE PORRIDGE WITH ABALONE') are too textually similar to the source description (selected candidate similarity: 0.43; runner-up similarity: 0.48; best candidate similarity: 0.48, held by 'YANGBAN RICE PORRIDGE WITH ABALONE') — note: the selected candidate is NOT the highest-similarity one; 'YANGBAN RICE PORRIDGE WITH ABALONE' scored higher to place confidently",PLANT_TO_ANIMAL_SUSPECT,reject,,"candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score.",,Paul S,16/08/2026,"auto_flag=PLANT_TO_ANIMAL_SUSPECT. candidate is an animal-derived product; source description is plant-based -- wrong food category, not a plausible match regardless of textual similarity score."
01010019:PHYTCPPD,"Rice bran, BRS Sertaneja, 15min microwaved",PHYTCPPD,4711.923000000001,"Hy-Vee, Inc. MICROWAVEABLE BROWN RICE",branded_food,0.4,"top two name-search candidates ('Hy-Vee, Inc. MICROWAVEABLE BROWN RICE' [selected], 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ') are too textually similar to the source description (selected candidate similarity: 0.38; runner-up similarity: 0.40; best candidate similarity: 0.40, held by 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ') — note: the selected candidate is NOT the highest-similarity one; 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ' scored higher to place confidently",,reject,,Rice BRAN (a milling byproduct) vs a whole-grain microwaveable rice PRODUCT -- wrong product form entirely.,,Paul S,16/08/2026,
01010019:PPD,"Rice bran, BRS Sertaneja, 15min microwaved",PPD,1327.995,"Hy-Vee, Inc. MICROWAVEABLE BROWN RICE",branded_food,0.4,"top two name-search candidates ('Hy-Vee, Inc. MICROWAVEABLE BROWN RICE' [selected], 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ') are too textually similar to the source description (selected candidate similarity: 0.38; runner-up similarity: 0.40; best candidate similarity: 0.40, held by 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ') — note: the selected candidate is NOT the highest-similarity one; 'Conagra Brands HEALTHY CHOICE Microwave Red Bean and Rice soup, 14 OZ' scored higher to place confidently",,reject,,Rice BRAN (a milling byproduct) vs a whole-grain microwaveable rice PRODUCT -- wrong product form entirely.,,Paul S,16/08/2026,
