bucket,top_similarity,row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_method,rationale,best_candidate_similarity,runner_up_similarity,similarity_field_was_mislabeled,auto_flag,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
ambiguous,0.88,01030039:PHYTCPPD,"Bread, wheat-based, toasted",PHYTCPPD,63.0,"Bread, wheat, toasted",sr_legacy_food,fuzzy,"top two name-search candidates ('Bread, wheat, toasted', 'Bread, wheat, sprouted, toasted') are too textually similar to the source description (0.88 vs 0.83 similarity) to place confidently",0.88,0.83,,,,,,,,,
ambiguous,0.88,05020031:PHYTCPP,"Gooseberry, raw",PHYTCPP,49.34,"Gooseberries, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Gooseberries, raw', 'GOOSEBERRY JAM') are too textually similar to the source description (0.88 vs 0.83 similarity) to place confidently",0.88,0.83,,,,,,,,,
ambiguous,0.86,01030154:PHYTCPPD,"Wheat bran, raw",PHYTCPPD,4174.0,"Oat bran, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Oat bran, raw', 'WHEAT BRAN TOAST') are too textually similar to the source description (0.86 vs 0.77 similarity) to place confidently",0.86,0.77,,,,,,,,,
ambiguous,0.86,01030152:PHYTC-,"Wheat bran, raw",PHYTC-,170.72639999999998,"Oat bran, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Oat bran, raw', 'WHEAT BRAN TOAST') are too textually similar to the source description (0.86 vs 0.77 similarity) to place confidently",0.86,0.77,,,,,,,,,
ambiguous,0.86,01030155:IP6,"Wheat bran, raw",IP6,2965.6,"Oat bran, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Oat bran, raw', 'WHEAT BRAN TOAST') are too textually similar to the source description (0.86 vs 0.77 similarity) to place confidently",0.86,0.77,,,,,,,,,
ambiguous,0.86,01030153:PHYTCPPD,"Wheat bran, raw",PHYTCPPD,4174.0,"Oat bran, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Oat bran, raw', 'WHEAT BRAN TOAST') are too textually similar to the source description (0.86 vs 0.77 similarity) to place confidently",0.86,0.77,,,,,,,,,
ambiguous,0.85,04030026:PHYTCPP,"Drumstick, raw",PHYTCPP,85.74,"Drumstick pods, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Drumstick pods, raw', 'Drumstick leaves, raw') are too textually similar to the source description (0.85 vs 0.80 similarity) to place confidently",0.85,0.8,,,,,,,,,
ambiguous,0.83,04010178:PHYTCPPI,"Mustard, leaves, raw",PHYTCPPI,9.180000000000001,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Mustard greens, raw') are too textually similar to the source description (0.83 vs 0.82 similarity) to place confidently",0.83,0.82,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.83,04010179:PHYTCPP,"Mustard, leaves, raw",PHYTCPP,34.69,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Mustard greens, raw') are too textually similar to the source description (0.83 vs 0.82 similarity) to place confidently",0.83,0.82,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
ambiguous,0.83,04010179:IP5,"Mustard, leaves, raw",IP5,3.0,"Taro leaves, raw",sr_legacy_food,fuzzy,"top two name-search candidates ('Taro leaves, raw', 'Mustard greens, raw') are too textually similar to the source description (0.83 vs 0.82 similarity) to place confidently",0.83,0.82,,LEAFY_GREEN_GARBAGE_BUCKET_SUSPECT,,,,,,,
